"","word","frequency","phones"
"319","stop",0.680182752712736,4
"320","store",0.271273557966876,3
"321","stove",0.0736721873215306,4
"322","stroller",0.0456881781838949,6
"323","sun",0.159337521416334,3
"324","sweater",0.0708166761850371,5
"325","swim",0.0770988006853227,4
"326","swing",0.110222729868646,4
"327","swing",0.110222729868646,4
"328","table",0.571673329525985,4
"329","take",2.43974871501999,3
"330","teacher",0.0542547115933752,5
"331","teddy bear",0.0913763563677898,7
"332","telephone",0.213592233009709,7
"333","thank you",0.111364934323244,6
"334","that",20.2073101085094,3
"335","there",9.32952598515134,2
"336","thirsty",0.0816676185037122,5
"337","this",11.6990291262136,3
"338","throw",0.805254140491148,3
"339","tickle",0.356938892061679,4
"340","tiger",0.135922330097087,4
"341","tired",0.33923472301542,4
"342","toast",0.0805254140491148,4
"343","today",0.822387207310109,4
"344","toe",0.118218161050828,2
"345","tomorrow",0.194745859508852,6
"346","tongue",0.149057681324957,3
"347","tonight",0.183323814962878,5
"348","tooth",0.0428326670474015,3
"349","toothbrush",0.0325528269560251,7
"350","touch",0.432324386065106,4
"351","towel",0.158195316961736,3
"352","toy",0.42604226156482,2
"353","train",0.392347230154198,4
"354","trash",0.0850942318675043,4
"355","tree",0.349514563106796,3
"356","truck",0.577955454026271,4
"357","tummy",0.134209023415191,4
"358","turkey",0.0622501427755568,4
"359","turtle",0.127926898914906,4
"360","tv",0.0896630496858938,4
"361","uh oh",1.07995431182182,2
"362","uncle",0.0148486579097658,4
"363","under",0.392347230154198,4
"364","up",6.18732153055397,2
"365","vacuum",0.0342661336379212,7
"366","vroom",0.0194174757281553,4
"367","wait",0.824671616219303,3
"368","walk",0.451170759565962,3
"369","wanna",3.68246716162193,5
"370","wash",0.441462021701885,3
"371","watch",0.802969731581953,4
"372","watch",0.802969731581953,4
"373","water",0.946316390633923,4
"374","water",0.946316390633923,4
"375","wet",0.264991433466591,3
"376","what",20.9297544260423,3
"377","when",1.78983438035408,3
"378","where",4.14277555682467,2
"379","who",1.87435750999429,2
"380","why",2.2598515134209,2
"381","window",0.227869788692176,5
"382","wipe",0.207881210736722,3
"383","woof woof",0.0302684180468304,3
"384","work",0.423186750428327,3
"385","write",0.318103940605368,3
"386","yes",3.27812678469446,3
"387","you",58.3083952027413,2
"388","your",12.0279840091376,2
"389","yucky",0.096516276413478,4
"390","yum yum",0.0731010850942319,3
"391","zipper",0.0850942318675043,4
"392","zoo",0.173615077098801,2
